id_peaje;nombre_peaje
1;ABURRÁ
2;ACAPULCO
3;AGUAS NEGRAS
4;ALBARRACÍN
5;ALTAMIRA
6;ALTO PINO
7;ALVARADO
8;AMAGÁ
9;ANDES
10;ARMERO
11;BAYUNCA
12;BOQUERÓN I
13;BOQUERÓN II
14;BRISAS
15;CAIMANERA
16;CAIQUERO
17;CALAMAR
18;CAMBAO
19;CANO
20;CASABLANCA
21;CASETABLA
22;CEDROS
23;CENCAR
24;CERRITO
25;CERRITOS II
26;CHICORAL
27;CHINAUTA
28;CHUSACA
29;CIAT
30;CIRCASIA
31;CIRILO
32;CISNEROS
33;COCORNÁ
34;COROZAL
35;CORZO
36;CURITÍ
37;DAZA
38;EL CARMEN
39;EL COPEY
40;EL DIFÍCIL
41;EL EBANAL
42;EL ESCOBAL
43;EL KORÁN
44;EL PATÁ
45;EL PICACHO
46;EL PLACER
47;EL ROBLE
48;ESTAMBUL
49;FLANDES
50;FUSCA
51;GALAPA
52;GALAPA 02
53;GAMARRA
54;GAMBOTE
55;GUALANDAY
56;GUARNE
57;GUATAQUÍ
58;HONDA
59;IRACÁ
60;IRRA
61;JUAN MINA
62;LA APARTADA
63;LA CABAÑA
64;LA ESPERANZA
65;LA GÓMEZ
66;LA LIBERTAD
67;LA LOMA
68;LA PARADA
69;LA PINTADA
70;LAS FLORES
71;LAS PALMAS
72;LEBRIJA
73;LOBOGUERRERO
74;LOS ACACIOS
75;LOS CAUCHOS
76;LOS CUROS
77;LOS GARZONES 1
78;LOS GARZONES 2
79;MACHETÁ
80;MANGUITOS
81;MARAHUACO
82;MATA DE CAÑA
83;MEDIACANOA
84;MORRISON
85;NARANJAL
86;NEGUANJE
87;NEIVA
88;OCOA
89;OIBA
90;PAILITAS
91;PALMITAS
92;PAPIROS
93;PARAGUACHÓN
94;PASACABALLOS
95;PASO DE LA TORRE
96;PATIOS
97;PAVAS
98;PIPIRAL
99;PLATANAL
100;PONEDERA
101;PRIMAVERA
102;PTO TRIUNFO
103;PUENTE AMARILLO
104;PUENTE PLATO
105;PUENTE QUETAME
106;PUERTO BERRÍO
107;PUERTO COLOMBIA
108;PURGATORIO
109;RINCÓN HONDO
110;RÍO BOGOTÁ
111;RIO SECO
112;RIO SOGAMOSO
113;RÍONEGRO
114;ROZO
115;SABANAGRANDE
116;SABOYÁ
117;SAN BERNARDO
118;SAN CARLOS
119;SAN CRISTOBAL
120;SAN DIEGO
121;SAN JUAN
122;SAN ONOFRE
123;SAN PEDRO
124;SANTÁGUEDA
125;SIBERIA
126;SOPO-SALITRE
127;SUPIA
128;TARAPACÁ I
129;TARAPACÁ II
130;TUCURINCA
131;TUNIA
132;TURBACO
133;TUTA
134;UNISABANA
135;VALENCIA
136;VERACRUZ
137;VILLARICA
138;YUCAO
139;ZAMBITO
