id_peaje_peaje;fecha_inicio;fecha_fin;recaudo_fsv;tarifa_fsv;recaudo_sobrante;recaudo_total
1;1/01/2020;15/01/2020;56956788;316;0;3118705200
1;16/01/2020;31/01/2020;39678488;328;602000;2325733000
1;1/02/2020;29/02/2020;62614136;316;304500;3826329200
1;1/03/2020;26/03/2020;43405552;328;190900;2580317800
1;26/03/2020;31/03/2020;0;0;0;0
1;1/04/2020;30/04/2020;0;0;0;0
1;1/05/2020;31/05/2020;0;0;0;0
1;31/05/2020;31/05/2020;96432;328;12500;6835300
1;1/06/2020;30/06/2020;30438400;328;75700;1995343900
1;1/07/2020;31/07/2020;32963672;328;262300;2141220600
1;1/08/2020;31/08/2020;47193624;328;338600;3247249900
1;1/09/2020;30/09/2020;72537200;328;385800;4206064000
1;1/10/2020;31/10/2020;86614632;328;413300;4938037900
1;1/11/2020;30/11/2020;78848904;328;376300;4501694300
1;1/12/2020;31/12/2020;95800600;328;524000;5394113900
1;1/01/2021;15/01/2021;40724480;328;424600;2248929500
1;16/01/2021;31/01/2021;43704918;333;0;2523675400
2;1/12/2014;31/12/2014;22746875;251;27600;633225900
2;1/01/2015;15/01/2015;12842917;251;62400;356384900
2;16/01/2015;31/01/2015;10505040;260;2500;298980900
2;1/02/2015;28/02/2015;17671420;260;8100;501635500
2;1/03/2015;31/03/2015;20074340;260;10100;568536100
2;1/04/2015;30/04/2015;19713200;260;16800;556070200
2;1/05/2015;31/05/2015;20179640;260;8800;569390900
2;1/06/2015;30/06/2015;20746700;260;18800;582916900
2;1/07/2015;31/07/2015;21064420;260;23129;601202029
2;1/08/2015;31/08/2015;20883200;260;14400;593343500
2;1/09/2015;30/09/2015;19820060;260;29300;564905500
2;1/10/2015;31/10/2015;21577140;260;53700;613282500
2;1/11/2015;30/11/2015;21352500;260;47200;607914900
2;1/12/2015;31/12/2015;26366600;260;50350;742967950
2;1/01/2016;15/01/2016;13298740;260;81500;369187600
2;16/01/2016;31/01/2016;12629818;278;63200;364893500
2;1/02/2016;29/02/2016;20893368;278;33500;599925400
