id_peaje_peaje;id_categoria_categoria_vehicular;valor;ult_fecha_cambio
110;7;200;6/01/2021
110;13;200;6/01/2021
110;15;200;6/01/2021
110;17;200;6/01/2021
110;22;200;6/01/2021
110;24;200;6/01/2021
110;26;200;6/01/2021
96;6;10200;16/01/2021
96;11;16000;16/01/2021
96;14;24700;16/01/2021
96;16;36200;16/01/2021
96;21;49500;16/01/2021
96;23;49900;16/01/2021
96;1;9100;16/01/2021
96;4;6700;16/01/2021
96;5;8800;16/01/2021
96;7;5400;16/01/2021
96;13;10900;16/01/2021
96;12;5700;16/01/2021
35;6;8400;6/01/2021
35;11;12600;6/01/2021
35;14;11000;6/01/2021
35;16;14600;6/01/2021
35;21;24900;6/01/2021
35;23;33600;6/01/2021
35;25;36400;6/01/2021
35;7;200;6/01/2021
35;13;200;6/01/2021
35;15;200;6/01/2021
35;17;200;6/01/2021
35;22;200;6/01/2021
35;24;200;6/01/2021
35;26;200;6/01/2021
16;6;9800;16/01/2021
16;11;12700;16/01/2021
16;14;31600;16/01/2021
16;16;38100;16/01/2021
16;21;43800;16/01/2021
16;1;9800;16/01/2021
16;4;6800;16/01/2021
16;5;9400;16/01/2021
16;7;2300;16/01/2021
125;6;10500;16/01/2021
125;11;15000;16/01/2021
125;14;12700;16/01/2021
125;16;16900;16/01/2021
125;21;29600;16/01/2021
125;23;39700;16/01/2021
125;25;43700;16/01/2021
125;7;6000;16/01/2021
125;13;8700;16/01/2021
125;15;7100;16/01/2021
125;17;9700;16/01/2021
125;19;7600;16/01/2021
9;6;9100;16/01/2021
9;11;15800;16/01/2021
9;14;10200;16/01/2021
9;16;23000;16/01/2021
9;21;35000;16/01/2021
9;23;45000;16/01/2021
9;25;49900;16/01/2021
9;13;14900;16/01/2021
50;6;9100;16/01/2021
50;11;15800;16/01/2021
50;14;10200;16/01/2021
50;16;23000;16/01/2021
50;21;35000;16/01/2021
50;23;45000;16/01/2021
50;25;49900;16/01/2021
50;13;14900;16/01/2021
63;6;10200;16/01/2021
63;11;16000;16/01/2021
63;14;24700;16/01/2021
63;16;36200;16/01/2021
63;21;49500;16/01/2021
63;23;49900;16/01/2021
63;1;9100;16/01/2021
63;4;6700;16/01/2021
63;5;8800;16/01/2021
63;7;5400;16/01/2021
63;13;10900;16/01/2021
134;6;9100;16/01/2021
134;11;15800;16/01/2021
134;14;10200;16/01/2021
134;16;23000;16/01/2021
134;21;35000;16/01/2021
134;23;45000;16/01/2021
134;25;49900;16/01/2021
134;13;14900;16/01/2021
85;6;11200;1/06/2020
85;11;29400;1/06/2020
85;14;22200;1/06/2020
85;16;43600;1/06/2020
85;21;50800;1/06/2020
85;23;58600;1/06/2020
85;25;65000;1/06/2020
85;7;500;1/06/2020
85;13;500;1/06/2020
85;15;500;1/06/2020
85;17;500;1/06/2020
85;22;500;1/06/2020
85;9;500;1/06/2020
85;10;500;1/06/2020
98;6;18500;1/06/2020
98;11;36400;1/06/2020
98;14;24900;1/06/2020
98;16;43600;1/06/2020
98;21;47500;1/06/2020
98;23;72800;1/06/2020
98;25;94200;1/06/2020
98;7;3500;1/06/2020
98;9;3500;1/06/2020
98;10;3500;1/06/2020
136;6;7000;16/01/2021
136;11;14200;16/01/2021
136;14;9100;16/01/2021
136;16;14200;16/01/2021
136;21;20400;16/01/2021
136;23;27400;16/01/2021
136;25;30700;16/01/2021
47;6;8400;15/01/2021
47;11;9300;15/01/2021
47;14;24300;15/01/2021
47;16;30100;15/01/2021
47;21;35400;15/01/2021
47;1;8600;15/01/2021
47;4;6000;15/01/2021
47;5;7200;15/01/2021
47;9;4600;15/01/2021
79;6;13900;16/01/2021
79;11;17000;16/01/2021
79;14;21800;16/01/2021
79;16;27500;16/01/2021
79;21;42400;16/01/2021
79;23;53000;16/01/2021
79;25;61500;16/01/2021
79;1;9300;16/01/2021
79;7;4600;16/01/2021
79;13;11300;16/01/2021
79;15;9700;16/01/2021
79;17;9700;16/01/2021
79;22;20500;16/01/2021
79;9;8900;16/01/2021
79;12;11400;16/01/2021
4;6;8400;15/01/2021
4;11;9300;15/01/2021
4;14;24300;15/01/2021
4;16;30100;15/01/2021
4;21;35400;15/01/2021
4;1;8600;15/01/2021
4;4;6000;15/01/2021
4;5;7200;15/01/2021
32;6;8600;1/06/2020
32;11;9200;1/06/2020
32;14;9200;1/06/2020
32;16;9200;1/06/2020
32;21;19500;1/06/2020
32;23;24800;1/06/2020
32;25;28000;1/06/2020
32;7;1800;1/06/2020
32;13;2000;1/06/2020
106;6;8900;16/01/2021
106;11;9900;16/01/2021
106;14;20500;16/01/2021
106;16;26100;16/01/2021
106;21;29500;16/01/2021
106;1;9100;16/01/2021
106;4;6700;16/01/2021
